symbol,timeframe,filter_tf,signals,TP_hit,SL_hit,accuracy_%
BTCUSDT,15M,4H,6,4,2,66.66666666666666
ETHUSDT,15M,4H,12,3,9,25.0
BNBUSDT,15M,4H,11,2,9,18.181818181818183
XRPUSDT,15M,4H,7,4,3,57.14285714285714
ADAUSDT,15M,4H,8,8,0,100.0
DOGEUSDT,15M,4H,4,2,2,50.0
SOLUSDT,15M,4H,9,2,5,22.22222222222222
DOTUSDT,15M,4H,3,2,1,66.66666666666666
BTCUSDT,4H,1D,0,0,0,0.0
ETHUSDT,4H,1D,1,1,0,100.0
BNBUSDT,4H,1D,0,0,0,0.0
XRPUSDT,4H,1D,4,3,0,75.0
ADAUSDT,4H,1D,1,0,0,0.0
DOGEUSDT,4H,1D,1,1,0,100.0
SOLUSDT,4H,1D,3,3,0,100.0
DOTUSDT,4H,1D,4,4,0,100.0
